name,symbol,current_price,price_change_24h,change_symbol,market_cap,ath,id,image,date,last_updated,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,price_change_percentage_24h_in_currency
Bitcoin,btc,113989.0,0.56423,UP,2268006361090,122838.0,bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,03-08-2025,2025-08-03T14:09:01.936Z,1,2268006361090,30767515208.0,114129.0,112113.0,0.56423,11960385972.0,0.53015,19901243.0,19901243.0,21000000.0,-7.28519,2025-07-14T07:56:01.937Z,67.81,167855.58009,2013-07-06T00:00:00.000Z,,0.5642284993829882
Ethereum,eth,3489.84,-0.55278,DOWN,421235000175,4878.26,ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,03-08-2025,2025-08-03T14:09:03.163Z,2,421235000175,25980456294.0,3509.23,3373.55,-0.55278,-1871324362.5422974,-0.44228,120709651.803818,120709651.803818,,-28.45268,2021-11-10T14:24:19.604Z,0.432979,806005.08872,2015-10-20T00:00:00.000Z,"{'times': 39.91651817042989, 'currency': 'btc', 'percentage': 3991.6518170429886}",-0.5527758219745679
XRP,xrp,2.88,-1.90799,DOWN,170584130388,3.65,ripple,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,03-08-2025,2025-08-03T14:09:06.479Z,3,287581666761,6362783043.0,2.93,2.75,-1.90799,-2866582022.9868164,-1.65268,59308385925.0,99985880506.0,100000000000.0,-21.08841,2025-07-18T03:40:53.808Z,0.00268621,107018.14447,2014-05-22T00:00:00.000Z,,-1.9079875044957353
Tether,usdt,0.999921,0.02469,UP,163880733236,1.32,tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,03-08-2025,2025-08-03T14:09:07.745Z,4,163880733236,67659374374.0,0.999988,0.999636,0.02469,30295499.0,0.01849,163894471105.5323,163894471105.5323,,-24.42492,2018-07-24T00:00:00.000Z,0.572521,74.65391,2015-03-02T00:00:00.000Z,,0.024686492350018296
BNB,bnb,750.1,-0.36082,DOWN,104485684277,858.34,binancecoin,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,03-08-2025,2025-08-03T14:09:05.707Z,5,104485684277,1150030682.0,752.81,731.72,-0.36082,-704964255.1762695,-0.67018,139288301.11,139288300.53,200000000.0,-12.58006,2025-07-28T09:36:43.658Z,0.0398177,1884384.6262,2017-10-19T00:00:00.000Z,,-0.3608239101517259
Solana,sol,161.38,-1.82554,DOWN,86860483244,293.31,solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,03-08-2025,2025-08-03T14:09:06.771Z,6,97885812258,4607447016.0,164.38,156.11,-1.82554,-1561231841.466507,-1.76567,538288422.4797419,606614164.4115238,,-45.00456,2025-01-19T11:15:27.957Z,0.500801,32110.02848,2020-05-11T19:35:23.449Z,,-1.825535276891789
USDC,usdc,0.999732,0.01187,UP,64176249795,1.17,usd-coin,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,03-08-2025,2025-08-03T14:09:08.401Z,7,64176658318,10118483176.0,0.999817,0.9996,0.01187,-28113321.472335815,-0.04379,64200914461.91462,64200930783.66887,,-14.74939,2019-05-08T00:40:28.300Z,0.877647,13.91135,2023-03-11T08:02:13.981Z,,0.01186998412801794
Lido Staked Ether,steth,3484.29,-0.3612,DOWN,31042927402,4829.57,staked-ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,03-08-2025,2025-08-03T14:09:06.445Z,8,31042928252,59121071.0,3501.05,3366.38,-0.3612,-372680401.6825943,-1.18629,8911414.630380524,8911414.874437245,,-27.82044,2021-11-10T14:40:47.256Z,482.9,621.88655,2020-12-22T04:08:21.854Z,,-0.361201421562674
TRON,trx,0.324481,-0.90133,DOWN,30730100787,0.431288,tron,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,03-08-2025,2025-08-03T14:09:07.493Z,9,30730100787,1215874138.0,0.327432,0.318963,-0.90133,-300216010.69874954,-0.96749,94712884469.13809,94712884469.13809,,-24.78032,2024-12-04T00:10:40.323Z,0.00180434,17879.61657,2017-11-12T00:00:00.000Z,"{'times': 169.77957919377315, 'currency': 'usd', 'percentage': 16977.957919377317}",-0.9013254698772108
Dogecoin,doge,0.19855,-0.32099,DOWN,29828091081,0.731578,dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,03-08-2025,2025-08-03T14:09:02.583Z,10,29828757622,2111651624.0,0.19919,0.189296,-0.32099,-128551099.25213242,-0.42912,150362026383.7051,150365586383.7052,,-72.90161,2021-05-08T05:08:23.458Z,8.69e-05,228021.23509,2015-05-06T00:00:00.000Z,,-0.3209862314772741
Cardano,ada,0.721841,0.88108,UP,26157939383,3.09,cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,03-08-2025,2025-08-03T14:09:02.182Z,11,32535037485,1228365929.0,0.727881,0.687351,0.88108,282956477.0,1.09355,36179680837.02519,45000000000.0,45000000000.0,-76.58968,2021-09-02T06:00:10.474Z,0.01925275,3653.51961,2020-03-13T02:22:55.044Z,,0.8810831562183321
