id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_24h_in_currency,date,change_symbol
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,114342.0,2276052150024,1,2276052150024,27333849979.0,114367.0,112113.0,1.82142,1.82142,41364516487.0,1.85102,19901337.0,19901337.0,21000000.0,122838.0,-6.9088,2025-07-14T07:56:01.937Z,67.81,168537.43324,2013-07-06T00:00:00.000Z,,2025-08-03T19:09:12.090Z,1.821423252398569,03-08-2025,UP
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3492.41,421785365004,2,421785365004,23070437851.0,3507.7,3373.55,3.1495,3.1495,13762403808.0,3.37295,120709651.803818,120709651.803818,,4878.26,-28.35247,2021-11-10T14:24:19.604Z,0.432979,807134.11428,2015-10-20T00:00:00.000Z,"{'times': 39.84069392561529, 'currency': 'btc', 'percentage': 3984.069392561529}",2025-08-03T19:09:13.342Z,3.1495015796676027,03-08-2025,UP
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.91,172962909523,3,291591965180,11448659340.0,2.92,2.75,4.92412,4.92412,9441383588.0,5.77379,59308385925.0,99985880506.0,100000000000.0,3.65,-20.15165,2025-07-18T03:40:53.808Z,0.00268621,108289.74144,2014-05-22T00:00:00.000Z,,2025-08-03T19:09:07.763Z,4.924115233149313,03-08-2025,UP
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.99987,163888139088,4,163888139088,272189861409.0,0.999995,0.999656,0.01557,0.01557,41100808.0,0.02508,163894471105.5323,163894471105.5323,,1.32,-24.42216,2018-07-24T00:00:00.000Z,0.572521,74.66029,2015-03-02T00:00:00.000Z,,2025-08-03T19:09:08.747Z,0.015571992490677483,03-08-2025,UP
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,751.79,104759960248,5,104759960248,1862292879.0,752.52,731.72,2.13261,2.13261,2151895888.0,2.0972,139288291.2,139288291.2,200000000.0,858.34,-12.42926,2025-07-28T09:36:43.658Z,0.0398177,1887635.28237,2017-10-19T00:00:00.000Z,,2025-08-03T19:09:11.758Z,2.1326052951740846,03-08-2025,UP
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,161.63,87054688521,6,98104673728,3970235357.0,162.63,156.66,2.99413,2.99413,2843892245.0,3.37711,538288238.3189954,606613990.4615847,,293.31,-44.77607,2025-01-19T11:15:27.957Z,0.500801,32243.85111,2020-05-11T19:35:23.449Z,,2025-08-03T19:09:07.814Z,2.994129020106593,03-08-2025,UP
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999605,64172981812,7,64172430507,3567851703.0,0.999817,0.9996,-0.01066,-0.01066,-30346684.19365692,-0.04727,64192181890.31235,64191630420.70351,,1.17,-14.75821,2019-05-08T00:40:28.300Z,0.877647,13.89956,2023-03-11T08:02:13.981Z,,2025-08-03T19:09:10.705Z,-0.01065623105601,03-08-2025,DOWN
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3487.69,31112847680,8,31112847680,48864454.0,3501.05,3366.38,3.17838,3.17838,803051382.0,2.64948,8911637.778438006,8911637.778438006,,4829.57,-27.73436,2021-11-10T14:40:47.256Z,482.9,622.74749,2020-12-22T04:08:21.854Z,,2025-08-03T19:09:07.424Z,3.178376772104792,03-08-2025,UP
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.32599,30866316572,9,30866317071,915194125.0,0.32692,0.319565,2.01059,2.01059,618990493.0,2.04643,94712583362.46121,94712584893.64832,,0.431288,-24.45015,2024-12-04T00:10:40.323Z,0.00180434,17958.537,2017-11-12T00:00:00.000Z,"{'times': 170.573575533373, 'currency': 'usd', 'percentage': 17057.3575533373}",2025-08-03T19:09:10.297Z,2.0105873547927184,03-08-2025,UP
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.198938,29963099960,10,29964299584,1611650536.0,0.199649,0.189296,3.85818,3.85818,1300439269.0,4.53705,150362026383.7051,150368046383.7052,,0.731578,-72.76371,2021-05-08T05:08:23.458Z,8.69e-05,229182.09943,2015-05-06T00:00:00.000Z,,2025-08-03T19:09:12.680Z,3.8581810771603378,03-08-2025,UP
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.723705,26229580172,11,32624143730,1044163283.0,0.72806,0.689521,4.95756,4.95756,1319792653.0,5.29829,36179680837.02519,45000000000.0,45000000000.0,3.09,-76.52392,2021-09-02T06:00:10.474Z,0.01925275,3664.06327,2020-03-13T02:22:55.044Z,,2025-08-03T19:09:12.316Z,4.957562067980661,03-08-2025,UP
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,114336.0,14508717724,12,14508717724,132957698.0,114365.0,112009.0,1.84847,1.84847,279928809.0,1.96734,126850.89873878,126850.89873878,126850.89873878,122745.0,-6.812,2025-07-14T08:00:59.938Z,3139.17,3543.74542,2019-04-02T00:00:00.000Z,,2025-08-03T19:09:18.616Z,1.8484668928052772,03-08-2025,UP
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4219.31,13676365232,13,13676365232,18905667.0,4232.51,4060.45,3.15753,3.15753,410733175.0,3.09622,3239908.508526406,3239908.508526406,,7256.02,-41.80369,2022-05-13T15:09:54.509Z,558.54,656.03099,2022-05-13T01:36:45.053Z,,2025-08-03T19:09:09.334Z,3.157529823790517,03-08-2025,UP
