id,rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,image,date,last_updated,number,gainer_rank
wemix-token,212,WEMIX,WEMIX,0.814423,18.40167,UP,369557166,5472498,24.71,https://coin-images.coingecko.com/coins/images/12998/large/wemixcoin_color_200.png?1696512788,03-08-2025,2025-08-03T19:09:08.772Z,212,1
pump-fun,104,Pump.fun,PUMP,0.0029975,18.03771,UP,1068254687,382503187,0.00681162,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,03-08-2025,2025-08-03T19:09:12.770Z,104,2
keeta,191,Keeta,KTA,1.044,15.04686,UP,422367595,9845513,1.68,https://coin-images.coingecko.com/coins/images/54723/large/2025-03-05_22.53.06.jpg?1741234207,03-08-2025,2025-08-03T19:09:13.844Z,191,3
based-brett,165,Brett,BRETT,0.052246,13.71004,UP,518904455,41384522,0.234204,https://coin-images.coingecko.com/coins/images/35529/large/1000050750.png?1709031995,03-08-2025,2025-08-03T19:09:11.316Z,165,4
conflux-token,103,Conflux,CFX,0.214976,13.56228,UP,1100976654,403173359,1.7,https://coin-images.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1696512867,03-08-2025,2025-08-03T19:09:12.327Z,103,5
spx6900,82,SPX6900,SPX,1.63,13.03685,UP,1515376460,73313372,2.27,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,03-08-2025,2025-08-03T19:09:07.729Z,82,6
saros-finance,106,Saros,SAROS,0.394819,12.5824,UP,1035732572,10071899,0.405788,https://coin-images.coingecko.com/coins/images/34594/large/saros-token-logo.png?1705476813,03-08-2025,2025-08-03T19:09:07.073Z,106,7
ethena,41,Ethena,ENA,0.590277,12.56596,UP,3754616541,1065504225,1.52,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,03-08-2025,2025-08-03T19:09:12.896Z,41,8
zebec-network,179,Zebec Network,ZBCN,0.00525414,11.90695,UP,453690241,27003559,0.00700261,https://coin-images.coingecko.com/coins/images/37052/large/zbcn.jpeg?1713168241,03-08-2025,2025-08-03T19:09:09.199Z,179,9
telcoin,174,Telcoin,TEL,0.00518935,11.05242,UP,480168340,2379437,0.064483,https://coin-images.coingecko.com/coins/images/1899/large/tel.png?1696502892,03-08-2025,2025-08-03T19:09:12.318Z,174,10
