number,rank,gainer_rank,loser_rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,id,image,date,last_updated
1,1,,,Bitcoin,BTC,113989.0,0.56423,UP,2268006361090,30767515208.0,122838.0,bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,03-08-2025,2025-08-03T14:09:01.936Z
2,2,,,Ethereum,ETH,3489.84,-0.55278,DOWN,421235000175,25980456294.0,4878.26,ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,03-08-2025,2025-08-03T14:09:03.163Z
3,3,,6.0,XRP,XRP,2.88,-1.90799,DOWN,170584130388,6362783043.0,3.65,ripple,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,03-08-2025,2025-08-03T14:09:06.479Z
4,4,,,Tether,USDT,0.999921,0.02469,UP,163880733236,67659374374.0,1.32,tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,03-08-2025,2025-08-03T14:09:07.745Z
5,5,,,BNB,BNB,750.1,-0.36082,DOWN,104485684277,1150030682.0,858.34,binancecoin,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,03-08-2025,2025-08-03T14:09:05.707Z
6,6,,8.0,Solana,SOL,161.38,-1.82554,DOWN,86860483244,4607447016.0,293.31,solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,03-08-2025,2025-08-03T14:09:06.771Z
7,7,,,USDC,USDC,0.999732,0.01187,UP,64176249795,10118483176.0,1.17,usd-coin,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,03-08-2025,2025-08-03T14:09:08.401Z
8,8,,,Lido Staked Ether,STETH,3484.29,-0.3612,DOWN,31042927402,59121071.0,4829.57,staked-ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,03-08-2025,2025-08-03T14:09:06.445Z
9,9,,,TRON,TRX,0.324481,-0.90133,DOWN,30730100787,1215874138.0,0.431288,tron,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,03-08-2025,2025-08-03T14:09:07.493Z
10,10,,,Dogecoin,DOGE,0.19855,-0.32099,DOWN,29828091081,2111651624.0,0.731578,dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,03-08-2025,2025-08-03T14:09:02.583Z
11,11,,,Cardano,ADA,0.721841,0.88108,UP,26157939383,1228365929.0,3.09,cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,03-08-2025,2025-08-03T14:09:02.182Z
12,12,,,Wrapped Bitcoin,WBTC,113886.0,0.59432,UP,14446312324,157195481.0,122745.0,wrapped-bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,03-08-2025,2025-08-03T14:09:08.050Z
13,13,,,Wrapped stETH,WSTETH,4215.38,-0.3717,DOWN,13681808756,27735056.0,7256.02,wrapped-steth,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,03-08-2025,2025-08-03T14:09:08.008Z
14,14,,,Hyperliquid,HYPE,38.16,0.64449,UP,12713593663,322649881.0,49.75,hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,03-08-2025,2025-08-03T14:09:04.660Z
15,15,,,Stellar,XLM,0.389926,3.21198,UP,12171786236,357794107.0,0.875563,stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,03-08-2025,2025-08-03T14:09:06.951Z
16,16,,,Sui,SUI,3.44,0.09334,UP,12066116009,1322134876.0,5.35,sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,03-08-2025,2025-08-03T14:09:07.043Z
17,17,,,Wrapped Beacon ETH,WBETH,3754.44,-0.43871,DOWN,11128586026,13073912.0,4317.06,wrapped-beacon-eth,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,03-08-2025,2025-08-03T14:09:07.842Z
18,18,,,Chainlink,LINK,16.19,1.2805,UP,10973521335,432091256.0,52.7,chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,03-08-2025,2025-08-03T14:09:02.088Z
19,19,,,Bitcoin Cash,BCH,542.21,0.57662,UP,10787019527,231535895.0,3785.82,bitcoin-cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,03-08-2025,2025-08-03T14:09:01.768Z
20,20,,,Hedera,HBAR,0.242461,2.94394,UP,10269513044,452912004.0,0.569229,hedera-hashgraph,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,03-08-2025,2025-08-03T14:09:05.030Z
21,21,,,Wrapped eETH,WEETH,3739.64,-0.6222,DOWN,9787872588,16207812.0,4311.81,wrapped-eeth,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,03-08-2025,2025-08-03T14:09:08.103Z
22,22,,,Ethena USDe,USDE,1.001,0.01926,UP,9160853165,1023546577.0,1.032,ethena-usde,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,03-08-2025,2025-08-03T14:09:02.503Z
23,23,,,Avalanche,AVAX,21.38,-1.03915,DOWN,9025311407,370066236.0,144.96,avalanche-2,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,03-08-2025,2025-08-03T14:09:05.893Z
24,24,,,Toncoin,TON,3.66,1.4273,UP,8843764737,372075290.0,8.25,the-open-network,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,03-08-2025,2025-08-03T14:09:07.515Z
25,25,,,Litecoin,LTC,109.14,0.13297,UP,8316033870,883821116.0,410.26,litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,03-08-2025,2025-08-03T14:09:08.232Z
26,26,,,LEO Token,LEO,8.96,-0.02132,DOWN,8266205275,2072338.0,10.14,leo-token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,03-08-2025,2025-08-03T14:09:07.357Z
27,27,,,WETH,WETH,3489.7,-0.48242,DOWN,7923366752,490106282.0,4799.89,weth,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,03-08-2025,2025-08-03T14:09:08.409Z
28,28,,,USDS,USDS,0.999686,0.01872,UP,7639256186,6962637.0,1.057,usds,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,03-08-2025,2025-08-03T14:09:07.887Z
29,29,,,Shiba Inu,SHIB,1.217e-05,0.39182,UP,7171541317,153966069.0,8.616e-05,shiba-inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,03-08-2025,2025-08-03T14:09:06.663Z
