number,rank,gainer_rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,id,image,date,last_updated
131,131,1,MemeCore,M,0.442527,26.31038,UP,745601899,44950200,0.897338,memecore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,03-08-2025,2025-08-03T14:09:08.334Z
81,81,2,SPX6900,SPX,1.67,10.22671,UP,1557615443,80935511,2.27,spx6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,03-08-2025,2025-08-03T14:09:06.537Z
172,172,3,Telcoin,TEL,0.00525546,9.55801,UP,486488626,2506370,0.064483,telcoin,https://coin-images.coingecko.com/coins/images/1899/large/tel.png?1696502892,03-08-2025,2025-08-03T14:09:07.025Z
103,103,4,Conflux,CFX,0.207442,7.66178,UP,1061918056,375631524,1.7,conflux-token,https://coin-images.coingecko.com/coins/images/13079/large/3vuYMbjN.png?1696512867,03-08-2025,2025-08-03T14:09:02.064Z
42,42,5,Ethena,ENA,0.579469,6.85012,UP,3673982868,1055811522,1.52,ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,03-08-2025,2025-08-03T14:09:02.913Z
65,65,6,Story,IP,6.15,6.80706,UP,1817818560,49069819,7.31,story-2,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,03-08-2025,2025-08-03T14:09:07.077Z
175,175,7,Rekt,REKT,1.12e-06,6.59485,UP,471057616,8683630,1.19e-06,rekt-4,https://coin-images.coingecko.com/coins/images/51727/large/rektcion_trans_200px.png?1731910587,03-08-2025,2025-08-03T14:09:05.757Z
166,166,8,Brett,BRETT,0.052011,6.53334,UP,515402378,47279019,0.234204,based-brett,https://coin-images.coingecko.com/coins/images/35529/large/1000050750.png?1709031995,03-08-2025,2025-08-03T14:09:01.016Z
105,105,9,Pump.fun,PUMP,0.00287292,5.69199,UP,1017309519,389243011,0.00681162,pump-fun,https://coin-images.coingecko.com/coins/images/67164/large/pump.jpg?1751949376,03-08-2025,2025-08-03T14:09:05.821Z
227,227,10,Convex Finance,CVX,4.08,5.42194,UP,334413515,35693238,60.09,convex-finance,https://coin-images.coingecko.com/coins/images/15585/large/convex.png?1696515221,03-08-2025,2025-08-03T14:09:03.287Z
